Holiday_Name_EN,Holiday_Name_DE,Wikipedia_Date
English,German,BW
New Year's Day,Neujahrstag,1 January
Epiphany,Heilige Drei Könige,6 January
International Women's Day[1],Internationaler Frauentag,8 March
Good Friday,Karfreitag,Easter Sunday − 2d
Easter Monday,Ostermontag,Easter Sunday + 1d
Labour Day,Tag der Arbeit,1 May
Ascension Day,Christi Himmelfahrt,Easter Sunday + 39d
Whit Monday,Pfingstmontag[2],Easter Sunday + 50d
Corpus Christi,Fronleichnam,Easter Sunday + 60d
Augsburg Peace Festival,Augsburger Hohes Friedensfest,8 August
Assumption Day,Mariä Himmelfahrt,15 August
World Children's Day,Weltkindertag,20 September
German Unity Day,Tag der Deutschen Einheit,3 October
Reformation Day[g],Reformationstag,31 October
All Saints' Day,Allerheiligen,1 November
Repentance and Prayer Day[i],Buß- und Bettag,Wednesday before Totensonntagi.e. Advent Sunday − 11d
Christmas Day,Weihnachtstag,25 December
Second Day of Christmas,Zweiter Weihnachtsfeiertag,26 December
Total number of holidays per state[j],12,13
